residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Hyatt Regency Danang Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"5 Trường Sa, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng, Vietnam.",750000,700,500000,1500000,1076,160,2011,completed,high,no,yes,94,Đà Nẵng,Vietnam,"Private balconies, fitness center, kids’ splash zone, beach club","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, beach access, water sports, spa facilities, sauna",Multiple pools including kids’ inflatable zone,Non Nuoc Beach access,VIE Spa with cold plunge,11,Grand Hyatt,Embrace luxury living with breathtaking oceanfront views and unparalleled resort amenities.,"Set along a pristine beachfront, this residence boasts breathtaking ocean views, private pools, and direct access to world-class golf courses."
Hyatt Place,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Station Touristique de Taghazout, Km 17, Route d’Essaouira",600000,280,500000,800000,2153,20,2015,completed,high,yes,yes,93,Taghazout,Morocco,"Fitness center, private terraces, spa facilities, beach club","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Kids’ club, beach access, water sports, yoga studio, valet parking",Heated outdoor pool with Atlantic views,Surfing at Taghazout Bay,L’Amouage Spa with hammam,10,Grand Hyatt,Embrace breathtaking ocean views from luxurious rooms designed for ultimate relaxation.,"Overlooking stunning ocean vistas, this coastal retreat boasts spacious rooms, a rooftop infinity pool, and direct beach access."
Hyatt Regency Cartagena Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Carrera 1 #12-118, Bocagrande",1000000,833,800000,1500000,1200,24,2016,completed,high,yes,yes,94,Cartagena,Colombia,"Fitness center, private balconies, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, rooftop terrace, valet parking, business center",Rooftop infinity pool with Caribbean Sea views,Seven dining venues including Kokaú,Amacagua Spa with hydrotherapy,10,Grand Hyatt,"Elevated above Cartagena's coastline, these residences boast panoramic ocean views and luxury.","Overlooking the stunning Caribbean Sea, these residences boast expansive terraces, private pools, and direct access to pristine beaches."
Hyatt Regency Creek Heights Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"20th Street, Dubai Healthcare City, Bur Dubai",750000,1250,326000,842000,600,405,2015,completed,high,no,yes,95,Dubai,UAE,"Private balconies, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, sauna, valet parking, business center",Outdoor pool with city skyline views,Twist by Pierre Gagnaire dining,L’Occitane Spa with hammam,10,Grand Hyatt,Discover unparalleled luxury with breathtaking skyline views from every elegant suite.,"Offering breathtaking views of the Dubai Creek and an exclusive rooftop infinity pool, this residence redefines luxury living."
Hyatt Centric Park City Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Hyatt Centric Park City Residences  
3551 N Escala Ct, Canyons Village 
United States",2500000,1000,1000000,4000000,2500,178,2007,completed,high,yes,yes,95,Park City,United States,"Ski-in/ski-out access, fitness center, private terraces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Ski valet, kids’ club, outdoor hot tubs, hiking trails, valet parking",Ski-in/ski-out access to Canyons Village,Heated outdoor pool and hot tubs,Escala Provisions Company dining,10,Grand Hyatt,"Discover luxurious mountain living with ski-in, ski-out access and stunning vistas.","These luxurious residences boast stunning mountain views, direct ski access, and exclusive amenities like a private hot tub and fitness center."
Hyatt Regency Lisbon Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Rua da Junqueira, 63, 1400-200 Lisbon, Portugal.",1250000,1250,650000,2500000,1000,142,2022,completed,high,yes,yes,95,Lisbon,Portugal,"Fitness center, private balconies, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop terrace, spa facilities, business center, valet parking",Rooftop pool with Tagus River views,Signature dining with Portuguese cuisine,Proximity to Belém cultural district,10,Grand Hyatt,Discover unparalleled luxury with waterfront residences offering breathtaking views of the Tagus.,"These luxurious residences boast breathtaking river views, spacious layouts, and exclusive access to a private rooftop terrace."
Grand Hyatt Grand Cayman Residences,https://grandhyattgrandcaymanresidences.com/,"West Bay Road, Seven Mile Beach, George Town, Cayman Islands",2500000,1250,1000000,5000000,2000,76,2025,under construction,high,yes,yes,95,George Town,Cayman Islands,"Private balconies, fitness center, spa facilities, private cinema","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, sauna, valet parking",Three resort-style freshwater pools,"12,000 sq ft destination spa with hammam",Six unique dining venues,11,Grand Hyatt,Discover unparalleled luxury with breathtaking ocean views from your private sanctuary.,"Boasting breathtaking ocean vistas and private beachfront access, these residences redefine luxury living with unparalleled amenities and a vibrant community atmosphere."
Hard Rock Residences,https://residencesdavos.com/,"Tobelmühlestrasse 2, Davos Platz, Switzerland",2000000,1550,1500000,2500000,1292,20,2016,completed,high,yes,yes,95,Davos,Switzerland,"Fitness center, private balconies, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, ski-in/ski-out access, sauna, wellness lounge",Indoor pool with alpine views,Ski-in/ski-out access to Davos slopes,Hard Rock signature dining,10,Hard Rock,Indulge in luxurious alpine living with breathtaking mountain views and world-class amenities.,"Offering breathtaking panoramic mountain views and direct access to world-class skiing, this residence combines luxury with unmatched alpine adventure."
InterContinental Residences,https://bimland.com/project/intercontinental-phu-quoc-long-beach-resort,"InterContinental Residences Phu Quoc, Đường Bãi Trường, Dương Tơ",500000,1000,300000,800000,500,115,2019,completed,high,no,yes,95,Kiên Giang,Vietnam,"Private balconies, fitness center, beach club, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, valet parking",Infinity pool with South China Sea views,Private beachfront access,Ombra Italian dining,11,InterContinental,Step into oceanfront elegance with private residences embracing Phu Quoc's golden shores.,"Overlooking pristine beaches and lush jungles, these residences offer unparalleled luxury with private infinity pools and exclusive concierge services."
InterContinental Residences,https://bimland.com/project/intercontinental-residences-halong-bay,"Peninsula 2, Halong Marina, Hoang Quoc Viet Road, Hung Thang",2500000,1250,280000,4000000,2000,101,2025,under construction,high,no,yes,95,Halong,Vietnam,"Private balconies, fitness center, spa facilities, private marina","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, marina access, water sports, valet parking",Rooftop pool with Halong Bay views,Private marina for yacht access,Yamazato Japanese dining,11,InterContinental,Discover unparalleled luxury with breathtaking bay views and exclusive overwater villas.,"Offering breathtaking panoramic views of Halong Bay's limestone cliffs, this residence features private terraces and direct access to pristine beaches."
InterContinental Residences,https://www.ihg.com/residences/content/us/en/brands/intercontinental,"InterContinental Residences Nanjing, No. 1 Zhong Yang Road, Gulou District",1500000,1000,800000,2500000,1500,30,2010,completed,high,no,yes,90,Nanjing,China,"Fitness center, private balconies, spa facilities, private cinema","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sauna, rooftop terrace, valet parking",Indoor and outdoor pools with city views,Prime Seafood & Steakhouse at 78th floor,Touch Spa with personalized treatments,10,InterContinental,Bask in luxurious living with breathtaking Yangtze River views and exquisite amenities.,"Boasting breathtaking views of the Yangtze River and luxurious amenities, this residence offers unparalleled elegance and exclusivity in Nanjing."
JW Marriott Residences,https://jwmr-istanbultarabya.com/?utm_source=instagram&utm_medium=social&utm_campaign=insta_luxury_campaign&utm_content=image1_v2&utm_term=high_income,"Araba Yolu Cd. No:1, Tarabya, Sarıyer, Turkey",1500000,1000,500000,3500000,1500,215,2025,under construction,high,yes,yes,95,Sarıyer,Turkey,"Private balconies, fitness center, hammam spa, private offices","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, kids’ play area, wellness lounge, valet parking",Outdoor swimming pool in 700 sqm facility,VIP massage rooms and hammam spa,20 private entry office units,10,JW Marriott,Elevate your lifestyle with panoramic Bosphorus views and unrivaled modern elegance.,"Offering breathtaking Bosphorus views, these luxurious residences boast private terraces and bespoke services that redefine urban living."
